H,T
0,113
1,126.6109784
2,133.0118084
3,134.4546611
4,133.1917077
5,131.4751193
6,131.5570671
7,135.6897223
8,146.125256
9,163.6097532
10,176.4076765
11,182.6283617
12,194.5549921
13,214.3207816
14,229.3475883
15,251.7134101
16,272.7693194
17,292.5097326
18,314.0573323
19,342.3060237
20,381.8006961
21,402.4957429
22,417.6153105
23,443.1502605
24,465.6710396
25,475.844298
26,484.5339972
27,495.0132073
28,509.6211369
29,529.3681041
30,544.070602
31,551.7950935
32,562.9693124
33,580.8487501
34,596.2650202
35,612.2858164
36,623.3095679
37,629.5866694
38,638.5026102
39,653.0022195
40,668.4937049
41,680.7839234
42,689.3946873
43,695.0912401
44,701.3511017
45,713.7881208
46,731.4272128
47,743.0968212
48,749.2810063
49,753.4125937
50,758.8248773
51,766.5245263
52,775.1709204
53,783.506923
54,790.7811696
55,796.4629592
56,801.1342588
57,805.9208414
58,811.9476551
59,819.5810914
60,827.5839515
61,834.6909636
62,840.7271657
63,845.9350847
64,850.5579396
65,854.8275587
66,858.9568172
67,863.156798
68,867.6385838
69,872.5943935
70,877.9009401
71,883.1738476
72,888.0208829
73,892.1561407
74,895.6908446
75,898.8289159
76,901.7742759
77,904.7311551
78,907.9305378
79,911.6504383
80,916.1736445
81,921.6994537
82,927.6629902
83,933.0999381
84,937.5358239
85,941.191769
86,944.3412636
87,947.2419175
88,950.0404376
89,952.8362442
90,955.728582
91,958.816693
92,962.1933908
93,965.9312593
94,970.0989132
95,974.7503841
96,979.645817
97,984.272837
98,988.1087674
99,990.7719629
100,992.4827337
101,993.6219619
102,994.5705313
103,995.7093257
104,997.419213
105,999.9594968
106,1003.174981
107,1006.822204
108,1010.657701
109,1014.438918
110,1017.984699
111,1021.213299
112,1024.052042
113,1026.454239
114,1028.58875
115,1030.731053
116,1033.157385
117,1036.14398
118,1039.835052
119,1043.886781
120,1047.842604
121,1051.257928
122,1053.998981
123,1056.263949
124,1058.267218
125,1060.223172
126,1062.346198
127,1064.83933
128,1067.698505
129,1070.738718
130,1073.768881
131,1076.597903
132,1079.061187
133,1081.181099
134,1083.060467
135,1084.802433
136,1086.510139
137,1088.286726
138,1090.22123
139,1092.324107
140,1094.57862
141,1096.968005
142,1099.475499
143,1102.084337
144,1104.773314
145,1107.501623
146,1110.223053
147,1112.891395
148,1115.460439
149,1117.883973
150,1120.115789
151,1122.124785
152,1123.972158
153,1125.753943
154,1127.566242
155,1129.505153
156,1131.666778
157,1134.120178
158,1136.803487
159,1139.615256
160,1142.45403
161,1145.218353
162,1147.80677
163,1150.144458
164,1152.258653
165,1154.201028
166,1156.023256
167,1157.777011
168,1159.513965
169,1161.285794
170,1163.134378
171,1165.049522
172,1167.003784
173,1168.969711
174,1170.919851
175,1172.82675
176,1174.674319
177,1176.494522
178,1178.33202
179,1180.231475
180,1182.23755
181,1184.394903
182,1186.724191
183,1189.165222
184,1191.640795
185,1194.073712
186,1196.38733
187,1198.542095
188,1200.558158
189,1202.461072
190,1204.276392
191,1206.029671
192,1207.746222
193,1209.441715
194,1211.119135
195,1212.780602
196,1214.428237
197,1216.06416
198,1217.690492
199,1219.309353
200,1220.922862
201,1222.530355
202,1224.12292
203,1225.690123
204,1227.221527
205,1228.706698
206,1230.135257
207,1231.513197
208,1232.885648
209,1234.30346
210,1235.817486
211,1237.478577
212,1239.337585
213,1241.445352
214,1243.814163
215,1246.329582
216,1248.851184
217,1251.238545
218,1253.352638
219,1255.142056
220,1256.693317
221,1258.105052
222,1259.475894
223,1260.904477
224,1262.487818
225,1264.26114
226,1266.179926
227,1268.194382
228,1270.254716
229,1272.31319
230,1274.346223
231,1276.345959
232,1278.304812
233,1280.215195
234,1282.069522
235,1283.860206
236,1285.580368
237,1287.235903
238,1288.843782
239,1290.421346
240,1291.985933
241,1293.554882
242,1295.145534
243,1296.774798
244,1298.446629
245,1300.150005
246,1301.873075
247,1303.603986
248,1305.330884
249,1307.041918
250,1308.725234
251,1310.368981
252,1311.961305
253,1313.496458
254,1314.995778
255,1316.488124
256,1318.002349
257,1319.56731
258,1321.211862
259,1322.956809
260,1324.79441
261,1326.710603
262,1328.691326
263,1330.722516
264,1332.790106
265,1334.874421
266,1336.939906
267,1338.948213
268,1340.860993
269,1342.639899
270,1344.246691
271,1345.668917
272,1346.952916
