fraction remaining,fraction lost,time (Myr),log10mantle ST,34R,d34 mantle,34R space,d34 space,34R space total,d34 space total,33R,d33 mantle,33R space,d33 space,33R space total,d33 space total,36R,d36 mantle,36R space,d36 space,36R space total,d36 space total,D33 mantle,D33S space,D33S total space,D36 mantle,D36 space,D36 total space,log10space,32TS_M,33TS_M,34TS_M,36TS_M,32S_M,33S_M,34S_M,36S_M,32S_S,33S_S,34S_S,36S_S,D33S M [alt],D33S S [alt],D36S M [alt],D36S S [alt],mbST,mb32S,mb33S,mb34S,mb36S
1,0,0,21.73196813,0.044162589,0,,,,,0.007877241,0,,,,,0.000153492,0,,,,,0,,,0,,,,0.950395692,0.007486496,0.041971934,0.000145878,5.12711E+21,4.03875E+19,2.26426E+20,7.8697E+17,0,0,0,0,0,,0,,0,0,0,0,0
0.99,0.01,46.87719641,21.72760333,0.044199524,0.836332387,0.040489163,-83.179594,0.040520101,-82.47903874,0.007880611,0.427780317,0.007542028,-42.55468192,0.007544919,-42.18766357,0.000153738,1.604971829,0.000129,-159.5653381,0.000129197,-158.2822042,-0.002843545,1.184415806,1.175197334,0.015342279,-7.45651263,-7.404784443,19.73196813,0.950359066,0.00748941,0.042005418,0.000146107,5.07564E+21,3.99992E+19,2.24341E+20,7.80321E+17,5.14667E+19,3.88312E+17,2.08544E+18,6.64934E+15,-0.002930862,0.289041384,0.015940294,-1.572030596,1.94371E-16,0,0,0,0
0.98,0.02,93.75439282,21.72319421,0.044236865,1.681865745,0.040523025,-82.4128274,0.040537136,-82.09330487,0.007884016,0.860089449,0.007545254,-42.14510566,0.007546541,-41.98170131,0.000153988,3.228853376,0.000129207,-158.2164641,0.000129301,-157.6030937,-0.005718438,1.182203305,1.174058694,0.030890082,-7.45547154,-7.404061589,20.03299813,0.950322041,0.007492354,0.042039267,0.000146338,5.02418E+21,3.96107E+19,2.22254E+20,7.73661E+17,1.02932E+20,7.76777E+17,4.17255E+18,1.33092E+16,-0.00607141,0.296350697,0.033308461,-1.625814459,1.94371E-16,0,0,0,0
0.97,0.03,140.6315892,21.71873987,0.04427462,2.53679675,0.04055726,-81.63762517,0.040554296,-81.70473202,0.007887458,1.297022293,0.007548514,-41.73119331,0.007548175,-41.77428045,0.00015424,4.872063833,0.000129416,-156.8516978,0.000129406,-156.9186297,-0.008625347,1.179966191,1.172897078,0.04664826,-7.454397189,-7.403237598,20.20908939,0.950284608,0.00749533,0.04207349,0.000146572,4.97271E+21,3.92221E+19,2.20165E+20,7.6699E+17,1.54395E+20,1.1654E+18,6.26136E+18,1.99796E+16,-0.009428033,0.303656538,0.052150009,-1.679638893,0,0,0,0,0
0.96,0.04,187.5087856,21.71423937,0.0443128,3.401328364,0.040591876,-80.85380697,0.040571584,-81.31327451,0.007890937,1.738676741,0.00755181,-41.312854,0.007549821,-41.56537799,0.000154495,6.535036128,0.000129628,-155.4706867,0.000129512,-156.2287229,-0.011564966,1.177703937,1.171711891,0.062621831,-7.453288588,-7.40230924,20.33402813,0.950246759,0.007498337,0.042108095,0.000146808,4.92125E+21,3.88333E+19,2.18075E+20,7.60309E+17,2.05856E+20,1.55417E+18,8.35189E+18,2.66608E+16,-0.013007367,0.310958387,0.072512235,-1.733501346,0,0,0,0,0
0.95,0.05,234.3859821,21.70969174,0.044351414,4.275670108,0.04062688,-80.06118675,0.040589002,-80.91888551,0.007894454,2.185153804,0.007555141,-40.88999402,0.007551478,-41.35497033,0.000154753,8.218217524,0.000129843,-154.0730672,0.000129619,-155.5332816,-0.014538008,1.175415997,1.170502514,0.078815986,-7.452144712,-7.401273161,20.43093814,0.950208485,0.007501377,0.04214309,0.000147048,4.86979E+21,3.84444E+19,2.15982E+20,7.53617E+17,2.57315E+20,1.94311E+18,1.04442E+19,3.33529E+16,-0.016816302,0.318255703,0.09444432,-1.787399142,1.94371E-16,0,0,0,0
0.94,0.06,281.2631785,21.70509599,0.04439047,5.160038337,0.040662281,-79.2595724,0.04060655,-80.52151695,0.00789801,2.636557745,0.007558508,-40.46251664,0.007553147,-41.14303331,0.000155015,9.922070253,0.00013006,-152.6584632,0.000129726,-154.8322117,-0.017545211,1.173101808,1.169268312,0.095236097,-7.450964494,-7.400125881,20.51011938,0.950169777,0.00750445,0.042178483,0.00014729,4.81834E+21,3.80553E+19,2.13888E+20,7.46914E+17,3.08772E+20,2.3322E+18,1.25382E+19,4.00559E+16,-0.020861998,0.325547922,0.117997413,-1.841329474,1.94371E-16,0,0,0,0
0.93,0.07,328.1403749,21.70045108,0.044429978,6.054656548,0.040698088,-78.44876556,0.040624233,-80.12111953,0.007901605,3.092996223,0.007561913,-40.03032205,0.007554829,-40.9295421,0.00015528,11.64707218,0.00013028,-151.2264863,0.000129835,-154.1254165,-0.020587335,1.170760788,1.168008622,0.111887723,-7.449746827,-7.398863788,20.57706617,0.950130624,0.007507557,0.042214283,0.000147536,4.76688E+21,3.7666E+19,2.11792E+20,7.402E+17,3.60228E+20,2.72146E+18,1.4634E+19,4.67701E+16,-0.025151899,0.332834457,0.143224738,-1.895289403,3.88742E-16,0,0,0,0
0.92,0.08,375.0175713,21.69575596,0.04446995,6.959755689,0.040734311,-77.62856133,0.040642052,-79.71764264,0.007905241,3.554580437,0.007565355,-39.59330717,0.007556523,-40.71447126,0.000155548,13.3937175,0.000130502,-149.7767349,0.000129944,-153.4127969,-0.023665168,1.168392336,1.166722763,0.128776625,-7.448490558,-7.39748313,20.63505812,0.950091017,0.007510699,0.0422505,0.000147785,4.71543E+21,3.72766E+19,2.09695E+20,7.33474E+17,4.11681E+20,3.11088E+18,1.67316E+19,5.34956E+16,-0.029693743,0.340114697,0.170181696,-1.949275842,1.94371E-16,0,0,0,0
0.91,0.09,421.8947677,21.69100953,0.044510395,7.875574494,0.040770957,-76.79874796,0.040660008,-79.3110343,0.007908919,4.021425285,0.007568836,-39.15136553,0.00755823,-40.49779466,0.000155819,15.16251751,0.000130728,-148.3087936,0.000130055,-152.6942507,-0.026779524,1.165995832,1.165410027,0.145908768,-7.44719449,-7.395980014,20.68621064,0.950050945,0.007513876,0.042287143,0.000148036,4.66398E+21,3.6887E+19,2.07595E+20,7.26738E+17,4.63132E+20,3.50046E+18,1.8831E+19,6.02325E+16,-0.03449558,0.347388005,0.198925973,-2.003285559,1.94371E-16,0,0,0,0
