fraction remaining,fraction lost,time (Myr),log10mantle ST,34R,d34 mantle,34R space,d34 space,34R space total,d34 space total,33R,d33 mantle,33R space,d33 space,33R space total,d33 space total,36R,d36 mantle,36R space,d36 space,36R space total,d36 space total,D33 mantle,D33S space,D33S total space,D36 mantle,D36 space,D36 total space,log10space,32TS_M,33TS_M,34TS_M,36TS_M,32S_M,33S_M,34S_M,36S_M,32S_S,33S_S,34S_S,36S_S,D33S M [alt],D33S S [alt],D36S M [alt],D36S S [alt],mbST,mb32S,mb33S,mb34S,mb36S
1,0,0,21.73325644,0.044162589,0,,,,,0.007877241,0,,,,,0.000153492,0,,,,,0,,,0,,,,0.950395692,0.007486496,0.041971934,0.000145878,5.14E+21,4.05E+19,2.27E+20,7.89E+17,0,0,0,0,0,,0,,-1.94E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.99,0.01,47.01646091,21.72889163,0.044199524,0.836332387,0.040489163,-83.179594,0.040520129,-82.47839618,0.007880705,0.439689257,0.007532698,-43.73909773,0.00753567,-43.36178451,0.000153727,1.529913908,0.000130144,-152.1088254,0.000130333,-150.8788221,0.009065394,0,0.00073136,-0.059715642,0,-0.002532173,19.73325644,0.950358991,0.007489498,0.042005415,0.000146096,5.09E+21,4.01E+19,2.25E+20,7.83E+17,5.16E+19,3.89E+17,2.09E+18,6.73E+15,0.008978078,-0.885410481,-0.059117627,5.830130662,-3.88E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.98,0.02,94.03292181,21.72448252,0.044236865,1.681865745,0.040523025,-82.4128274,0.040537165,-82.0926619,0.007884205,0.884038722,0.00753601,-43.31864008,0.007537335,-43.15034784,0.000153964,3.077736616,0.000130344,-150.8116249,0.000130433,-150.2257789,0.018230835,0.008668882,0.005066993,-0.120226678,-0.050632366,-0.027877743,20.03428644,0.950321891,0.007492532,0.042039261,0.000146316,5.04E+21,3.97E+19,2.23E+20,7.76E+17,1.03E+20,7.78E+17,4.18E+18,1.35E+16,0.017877863,-0.872626957,-0.117808299,5.750278745,-1.94E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.97,0.03,141.0493827,21.72002817,0.04427462,2.53679675,0.04055726,-81.63762517,0.040554325,-81.70408865,0.007887743,1.333146103,0.007539357,-42.89372606,0.007539013,-42.93741208,0.000154205,4.643863742,0.000130545,-149.4992397,0.000130535,-149.567621,0.027498463,0.017433435,0.009420132,-0.181551831,-0.101939139,-0.053361039,20.21037769,0.950284383,0.007495599,0.04207348,0.000146538,4.99E+21,3.93E+19,2.21E+20,7.69E+17,1.55E+20,1.17E+18,6.28E+18,2.02E+16,0.026695777,-0.859806424,-0.176050082,5.6701474,-3.88E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.96,0.04,188.0658436,21.71552767,0.0443128,3.401328364,0.040591876,-80.85380697,0.040571613,-81.31263075,0.007891319,1.787112193,0.00754274,-42.46426223,0.007540702,-42.72295359,0.000154448,6.228703837,0.000130749,-148.1713343,0.000130636,-148.9042635,0.036870485,0.026295705,0.013790833,-0.24371046,-0.153936195,-0.078983113,20.33531643,0.950246457,0.007498698,0.042108082,0.000146764,4.94E+21,3.90E+19,2.19E+20,7.62E+17,2.06E+20,1.56E+18,8.38E+18,2.70E+16,0.035428085,-0.84694875,-0.233820056,5.589734894,-3.88E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.95,0.05,235.0823045,21.71098005,0.044351414,4.275670108,0.04062688,-80.06118675,0.04058903,-80.91824136,0.007894934,2.246040996,0.007546159,-42.03015221,0.007542404,-42.50694811,0.000154694,7.832678946,0.000130955,-146.8275624,0.000130739,-148.2356191,0.046349184,0.035257804,0.018179148,-0.306722592,-0.206639948,-0.104745015,20.43222644,0.950208106,0.00750183,0.042143073,0.000146992,4.88E+21,3.86E+19,2.17E+20,7.56E+17,2.58E+20,1.95E+18,1.05E+19,3.37E+16,0.04407089,-0.834053806,-0.291094259,5.509039502,-1.94E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.94,0.06,282.0987654,21.70638429,0.04439047,5.160038337,0.040662281,-79.2595724,0.040606579,-80.52087243,0.007898589,2.710039867,0.007549616,-41.59129654,0.007544118,-42.28937077,0.000154943,9.456225204,0.000131164,-145.4675661,0.000130842,-147.5615981,0.055936911,0.044321912,0.022585126,-0.370608952,-0.260067379,-0.13064779,20.51140769,0.950169319,0.007504997,0.042178462,0.000147222,4.83E+21,3.82E+19,2.15E+20,7.49E+17,3.10E+20,2.34E+18,1.26E+19,4.05E+16,0.052620124,-0.82112147,-0.347847636,5.428059504,-1.94E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.93,0.07,329.1152263,21.70173939,0.044429978,6.054656548,0.040698088,-78.44876556,0.040624261,-80.12047464,0.007902285,3.179219659,0.007553112,-41.14759256,0.007545844,-42.07019607,0.000155196,11.09979346,0.000131375,-144.0909755,0.000130947,-146.8821086,0.065636101,0.053490281,0.027008811,-0.435390992,-0.31423606,-0.156692478,20.57835448,0.950130086,0.007508198,0.042214259,0.000147456,4.78E+21,3.78E+19,2.12E+20,7.42E+17,3.61E+20,2.73E+18,1.47E+19,4.73E+16,0.061071537,-0.808151626,-0.404053977,5.346793189,-1.94E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.92,0.08,376.1316872,21.69704427,0.04446995,6.959755689,0.040734311,-77.62856133,0.04064208,-79.71699739,0.007906022,3.653694871,0.007556646,-40.69893427,0.007547583,-41.84939782,0.000155451,12.76384995,0.000131589,-142.6974085,0.000131052,-146.1970562,0.075449267,0.062765237,0.031450244,-0.501090926,-0.369164179,-0.182880112,20.63634643,0.950090399,0.007511436,0.042250472,0.000147693,4.73E+21,3.74E+19,2.10E+20,7.35E+17,4.13E+20,3.12E+18,1.68E+19,5.41E+16,0.069420692,-0.795144161,-0.459685855,5.265238857,-1.94E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.91,0.09,423.1481481,21.69229783,0.044510395,7.875574494,0.040770957,-76.79874796,0.040660037,-79.3103887,0.007909802,4.133583814,0.00756022,-40.24521218,0.007549336,-41.62694915,0.00015571,14.44887698,0.000131806,-141.2864697,0.000131158,-145.5063437,0.085379005,0.072149184,0.035909457,-0.567731767,-0.424870573,-0.20921172,20.68749895,0.950050247,0.00751471,0.042287112,0.000147932,4.68E+21,3.70E+19,2.08E+20,7.28E+17,4.65E+20,3.51E+18,1.89E+19,6.09E+16,0.077662949,-0.78209897,-0.514714563,5.18339482,-1.94E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.9,0.1,470.1646091,21.68749895,0.044551324,8.802359836,0.040808038,-75.95910659,0.040678134,-78.9005952,0.007913626,4.619008776,0.007563835,-39.78631314,0.007551101,-41.40282248,0.000155972,16.15537365,0.000132025,-139.8577502,0.000131265,-144.8098715,0.095428004,0.081644605,0.040386482,-0.635337365,-0.481374755,-0.235688316,20.73325644,0.950009618,0.007518021,0.042324186,0.000148175,4.63E+21,3.66E+19,2.06E+20,7.22E+17,5.16E+20,3.90E+18,2.10E+19,6.77E+16,0.085793461,-0.769015953,-0.56911004,5.101259406,-1.94E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.89,0.11,517.18107,21.68264645,0.044592749,9.740367094,0.040845563,-75.10941088,0.040696375,-78.48756207,0.007917495,5.110096209,0.007567491,-39.32212023,0.00755288,-41.17698949,0.000156237,17.88385668,0.000132247,-138.4108267,0.000131373,-144.107537,0.105599042,0.091254069,0.044881341,-0.703932445,-0.538696945,-0.262310908,20.77464912,0.949968503,0.00752137,0.042361707,0.00014842,4.57E+21,3.62E+19,2.04E+20,7.15E+17,5.68E+20,4.29E+18,2.31E+19,7.46E+16,0.093807156,-0.755895021,-0.6228408,5.018830959,-3.88E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.88,0.12,564.1975309,21.67773911,0.044634681,10.68986055,0.040883542,-74.24942669,0.040714761,-78.07123298,0.007921409,5.606976913,0.00757119,-38.85251252,0.007554673,-40.94942107,0.000156506,19.6348612,0.000132472,-136.9452612,0.000131481,-143.3992348,0.115894995,0.100980235,0.049394052,-0.77354265,-0.596858107,-0.289080489,20.81243769,0.949926888,0.007524759,0.042399684,0.000148669,4.52E+21,3.58E+19,2.02E+20,7.08E+17,6.19E+20,4.68E+18,2.52E+19,8.14E+16,0.10169873,-0.742736088,-0.675873846,4.936107842,-3.88E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
