fraction remaining,fraction lost,time (Myr),log10mantle ST,34R,d34 mantle,34R space,d34 space,34R space total,d34 space total,33R,d33 mantle,33R space,d33 space,33R space total,d33 space total,36R,d36 mantle,36R space,d36 space,36R space total,d36 space total,D33 mantle,D33S space,D33S total space,D36 mantle,D36 space,D36 total space,log10space,32TS_M,33TS_M,34TS_M,36TS_M,32S_M,33S_M,34S_M,36S_M,32S_S,33S_S,34S_S,36S_S,D33S M [alt],D33S S [alt],D36S M [alt],D36S S [alt],mbST,mb32S,mb33S,mb34S,mb36S
1,0,0,21.73196813,0.044162589,0,,,,,0.007877241,0,,,,,0.000153492,0,,,,,0,,,0,,,,0.950395692,0.007486496,0.041971934,0.000145878,5.13E+21,4.04E+19,2.26E+20,7.87E+17,0,0,0,0,0,,0,,0,0,0,0,0
0.99,0.01,46.87719641,21.72760333,0.044162589,0,0.044162589,0,0.044162589,-1.21E-11,0.007877241,0,0.007877241,0,0.007877241,-1.52E-11,0.000153492,0,0.000153492,0,0.000153492,-1.61E-11,0,0,-8.98E-12,0,0,6.91E-12,19.73196813,0.950395692,0.007486496,0.041971934,0.000145878,5.08E+21,4.00E+19,2.24E+20,7.79E+17,5.13E+19,4.04E+17,2.26E+18,7.87E+15,0,-8.96E-12,0,6.92E-12,1.94E-16,0,0,0,0
0.98,0.02,93.75439282,21.72319421,0.044162589,0,0.044162589,0,0.044162589,7.86E-13,0.007877241,0,0.007877241,0,0.007877241,4.84E-12,0.000153492,0,0.000153492,0,0.000153492,2.12E-12,0,0,4.40E-12,0,0,3.43E-13,20.03299813,0.950395692,0.007486496,0.041971934,0.000145878,5.02E+21,3.96E+19,2.22E+20,7.71E+17,1.03E+20,8.08E+17,4.53E+18,1.57E+16,0,4.44E-12,0,6.26E-13,3.89E-16,0,0,0,0
0.97,0.03,140.6315892,21.71873987,0.044162589,0,0.044162589,0,0.044162589,-1.57E-13,0.007877241,0,0.007877241,0,0.007877241,-3.74E-12,0.000153492,0,0.000153492,0,0.000153492,-1.41E-12,0,0,-3.63E-12,0,0,-1.19E-12,20.20908939,0.950395692,0.007486496,0.041971934,0.000145878,4.97E+21,3.92E+19,2.20E+20,7.63E+17,1.54E+20,1.21E+18,6.79E+18,2.36E+16,0,-3.66E-12,0,-1.11E-12,3.89E-16,0,0,0,0
0.96,0.04,187.5087856,21.71423937,0.044162589,0,0.044162589,0,0.044162589,-5.03E-12,0.007877241,0,0.007877241,0,0.007877241,-1.98E-12,0.000153492,0,0.000153492,0,0.000153492,-4.41E-12,0,0,5.72E-13,0,0,5.13E-12,20.33402813,0.950395692,0.007486496,0.041971934,0.000145878,4.92E+21,3.88E+19,2.17E+20,7.55E+17,2.05E+20,1.62E+18,9.06E+18,3.15E+16,0,6.07E-13,0,5.14E-12,0,0,0,0,0
0.95,0.05,234.3859821,21.70969174,0.044162589,0,0.044162589,0,0.044162589,-2.04E-12,0.007877241,0,0.007877241,0,0.007877241,-4.40E-12,0.000153492,0,0.000153492,0,0.000153492,-4.06E-12,0,0,-3.41E-12,0,0,-2.87E-13,20.43093814,0.950395692,0.007486496,0.041971934,0.000145878,4.87E+21,3.84E+19,2.15E+20,7.48E+17,2.56E+20,2.02E+18,1.13E+19,3.93E+16,0,-3.35E-12,0,-1.81E-13,1.94E-16,0,0,0,0
0.94,0.06,281.2631785,21.70509599,0.044162589,0,0.044162589,0,0.044162589,-3.30E-12,0.007877241,0,0.007877241,0,0.007877241,-2.86E-12,0.000153492,0,0.000153492,0,0.000153492,-1.94E-12,0,0,-1.20E-12,0,0,4.39E-12,20.51011938,0.950395692,0.007486496,0.041971934,0.000145878,4.82E+21,3.80E+19,2.13E+20,7.40E+17,3.08E+20,2.42E+18,1.36E+19,4.72E+16,0,-1.16E-12,0,4.33E-12,0,0,0,0,0
0.93,0.07,328.1403749,21.70045108,0.044162589,0,0.044162589,0,0.044162589,-1.57E-13,0.007877241,0,0.007877241,0,0.007877241,4.40E-13,0.000153492,0,0.000153492,0,0.000153492,0,0,0,5.51E-13,0,0,2.22E-13,20.57706617,0.950395692,0.007486496,0.041971934,0.000145878,4.77E+21,3.76E+19,2.11E+20,7.32E+17,3.59E+20,2.83E+18,1.58E+19,5.51E+16,0,5.21E-13,0,2.99E-13,0,0,0,0,0
0.92,0.08,375.0175713,21.69575596,0.044162589,0,0.044162589,0,0.044162589,-2.04E-12,0.007877241,0,0.007877241,0,0.007877241,-2.20E-13,0.000153492,0,0.000153492,0,0.000153492,-2.12E-12,0,0,7.79E-13,0,0,1.66E-12,20.63505812,0.950395692,0.007486496,0.041971934,0.000145878,4.72E+21,3.72E+19,2.08E+20,7.24E+17,4.10E+20,3.23E+18,1.81E+19,6.30E+16,0,8.32E-13,0,1.76E-12,1.94E-16,0,0,0,0
0.91,0.09,421.8947677,21.69100953,0.044162589,0,0.044162589,0,0.044162589,-7.86E-13,0.007877241,0,0.007877241,0,0.007877241,-1.10E-12,0.000153492,0,0.000153492,0,0.000153492,-1.06E-12,0,0,-6.57E-13,0,0,3.84E-13,20.68621064,0.950395692,0.007486496,0.041971934,0.000145878,4.67E+21,3.68E+19,2.06E+20,7.16E+17,4.61E+20,3.63E+18,2.04E+19,7.08E+16,0,-6.97E-13,0,4.33E-13,1.94E-16,0,0,0,0
