Run,time (Myr),[S] mantle,d34S M,d34S F,d34S SS,d34S S,d34S DM,d34S og,d34S iS,d33S M,d33S F,d33S SS,d33S S,d33S DM,d33S og,d33S iS,d36S M,d36S F,d36S SS,d36S S,d36S DM,d36S og,d36S iS,D33S M,D33S F,D33S SS,D33S S,D33S DM,D33S og,D33S iS,D36S M,D36S F,D36S SS,D36S S,D36S DM,D36S og,D36S iS,ST M,ST F,ST SS,ST S,ST DM,log ST M,log ST F,log ST SS,log ST S,log ST DM,F mo,F fr,F sl,F sn,F pd,F hg,F bu,F pl,F rs,F sq,F ao,F dm,mo/mo+ca,bu/bu+pl,mass balance check,,R33 M,R33 F,R33 SS,R33 S,R33 DM,R33 og,R33 iS,R34 M,R34 F,R34 SS,R34 S,R34 DM,R34 og,R34 iS,R36 M,R36 F,R36 SS,R36 S,R36 DM,R36 og,R36 iS,a33_bu,a34_bu,a36_bu,a33_escape-burial,a34_escape-burial,a36_escape-burial,Run,Symbol,Colour,33S/34S,Mantle melting rate,delta mantle-frost,Mantle mass,REDONE
Rd,4500,,358.616,358.616,358.616,-8.194590678,,358.616,245.6068727,169.7479346,169.7479346,169.7479346,-3.8774881,,169.7479346,119.9696833,800.2073231,800.2073231,800.2073231,-18.32128165,,800.2073231,512.956633,-14.93930543,-14.93930543,-14.93930543,0.342726099,,-14.93930543,-6.51785616,118.8369231,118.8369231,118.8369231,-2.751559359,,118.8369231,46.30357487,,,,,,20.31433918,,,21.90340645,,,,,,,,,,,,,,,,,,0.009214386,0.009214386,0.009214386,0.007846697,,0.009214386,0.008822271,0.06,0.06,0.06,0.043800695,,0.06,0.055009224,0.000276317,0.000276317,0.000276317,0.00015068,,0.000276317,0.000232227,,,,,,,Rd,square,white,0.1535731,,0,0.2705,Y
Hsl,4500,0.000135605,253.7668229,317.2824662,256.9174311,-6.479513443,,287.4094156,226.2647325,123.9204882,154.3019784,125.4303835,-3.163842856,,139.971215,110.6631615,548.0996671,699.9210652,555.6323227,-14.00092516,,628.5350262,482.5161733,-6.76942559,-9.098491667,-6.882093525,0.173106567,,-8.044634065,-5.863175698,65.94270353,97.08437939,67.48920356,-1.689849619,,82.45713654,52.61318158,2.94E+20,4.28E+18,1.92E+19,1.24E+22,0,20.46905832,18.63123549,19.2841595,22.09191313,,5.31E+17,5.36E+17,2.75E+17,6.26E+16,2.50E+17,2.13E+17,3.12E+17,2.12E+18,2.41E+18,2.67E+17,5.87E+17,0,0.497452438,0.107076255,0,,0.008853393,0.009092715,0.008865286,0.007852319,,0.008979828,0.008748961,0.055369589,0.058174604,0.055508728,0.043876437,,0.056855333,0.054155025,0.000237621,0.000260924,0.000238777,0.000151343,,0.000249967,0.000227554,1.006575478,1.006975203,1.005436262,0.952628305,0.914106176,0.843447994,Hsl,square,steelblue,0.156300418,1,63.51564332,0.5,Y
Omm,4500,8.86E-05,251.106288,314.1565211,254.2796699,-6.39353748,,284.7704579,223.0628221,122.7597575,152.9092484,124.2800416,-3.125360964,,138.8171142,109.2505442,541.3981301,691.8907262,548.9743214,-13.79102517,,621.7661092,474.6019007,-6.559980836,-8.881359947,-6.673988412,0.167310838,,-7.839671676,-5.626809152,64.29618293,94.99333621,65.84294864,-1.643303953,,80.70223917,50.78253868,1.90E+20,2.84E+18,1.26E+19,8.01E+21,0,20.27869887,18.45337921,19.09954628,21.9034065,,3.47E+17,3.56E+17,1.78E+17,4.68E+16,1.62E+17,1.40E+17,2.08E+17,1.39E+18,1.57E+18,1.76E+17,3.86E+17,0,0.493335451,0.109093385,2.11E-14,,0.008844249,0.009081744,0.008856225,0.007852622,,0.008970737,0.008737834,0.055252093,0.058036554,0.055392238,0.043880234,,0.05673879,0.054013621,0.000236592,0.000259692,0.000237755,0.000151375,,0.000248928,0.00022634,1.006378061,1.006765785,1.005273047,0.952815179,0.91429632,0.843584935,Omm,diamond,grey,0.156483172,1,63.05023309,0.2705,Y
0sq,4500,2.98E-36,-2.69E-11,339.3630236,-2.67E-11,-8.56960026,,339.9412822,234.1608776,-5.99E-11,163.0364245,-6.01E-11,-4.116998283,,163.2950132,115.8013141,1.04E-11,748.4282174,1.06E-11,-18.89932079,,749.8594152,485.8228867,-4.61E-11,-11.73553268,-4.64E-11,0.296345851,,-11.77474711,-4.791537836,6.15E-11,103.6384726,6.13E-11,-2.617080295,,103.970979,40.91721929,6.39E-12,2.05E+20,3.78E-13,8.01E+21,0,-11.19442738,20.31258471,-12.42254438,21.9034065,,1.17E-14,2.57E+19,1.78E+17,2.02E+19,1.62E+17,5.14E+18,2.04E+19,4.67E-14,4.73E-14,0,2.06E+19,0,4.54E-34,0.798605654,-1.30E-14,,0.007877241,0.009161518,0.007877241,0.00784481,,0.009163555,0.008789436,0.044162589,0.059149739,0.044162589,0.043784133,,0.059175276,0.05450374,0.000153492,0.00026837,0.000153492,0.000150591,,0.000268589,0.000228062,1.00006524,1.000069206,1.000053937,0.958829737,0.920418553,0.84798746,0sq,triangle-up,grey,0.154886871,1,,0.2705,Y
2M,4500,0.000253038,189.6961588,213.6847874,192.1236782,-14.12820189,-5.39E-10,208.1055245,119.9967702,93.3776358,104.7462143,94.53001875,-6.953390428,2.44E-09,102.0961641,60.33250539,400.7771667,455.5006362,406.3112177,-29.86015351,3.51E-09,442.7427873,241.4495111,-4.315885985,-5.301451225,-4.413675512,0.322633545,2.72E-09,-5.078181052,-1.465831236,40.354465,49.49954001,41.27622918,-3.016569926,4.54E-09,47.34229074,13.45564781,5.43E+20,1.83E+19,3.83E+19,8.01E+21,7.02E+21,20.73440171,19.2616399,19.58327895,21.9034065,21.84634282,9.90E+17,2.28E+18,1.78E+17,1.46E+18,1.62E+17,6.55E+17,1.62E+18,3.96E+18,4.79E+18,8.19E+17,1.80E+18,1.76E+16,0.302416569,0.229971111,8.57E-13,,0.008612799,0.008702352,0.008621877,0.007822468,0.007877241,0.008681477,0.008352495,0.052540062,0.053599462,0.052647268,0.043538651,0.044162589,0.053353068,0.049461957,0.000215008,0.000223408,0.000215857,0.000148909,0.000153492,0.000221449,0.000190552,1.000819242,1.000869044,1.000677307,0.95810737,0.919683007,0.847459208,2M,circle,steelblue,0.162358947,1,23.98862864,0.2705,Y
0fr,4500,9.38E-28,-28.18855293,177.3664745,-28.26920428,-4.512469288,,177.3219715,126.0641364,-14.62299446,93.39367911,-14.66512493,-2.376075354,,93.37104238,67.29843105,-52.84373535,358.4493269,-52.99298507,-9.119488808,,358.3530469,247.4593706,-0.105889699,2.049944744,-0.106484724,-0.052153671,,2.050227066,2.375400778,0.714515217,21.45302536,0.718503059,-0.54579716,,21.44130111,7.937511333,0.00201161,2.05E+20,0.000125959,8.01E+21,0,-2.696456127,20.31258471,-3.899772004,21.9034065,,3.67E-06,0,1.78E+17,-3.40E+17,1.62E+17,7.34E-07,1.62E+17,1.47E-05,1.58E-05,9.18E-07,2.02E-06,0,1,1,1.97E-14,,0.007762052,0.008612926,0.00776172,0.007858524,,0.008612747,0.008407367,0.04291771,0.051995552,0.042914148,0.043963307,,0.051993586,0.049729908,0.000145381,0.000208511,0.000145358,0.000152092,,0.000208496,0.000191475,1.008225,1.008725,1.0068,0.951069743,0.912520511,0.84230552,0fr,triangle-down,grey,0.165647362,1,,,Y
Mmm,4500,8.63E-05,315.0781699,331.6055982,316.7766285,-7.982054488,,328.7907759,227.8354617,151.8525966,159.3133595,152.6200699,-3.846450108,,158.0388937,112.4392996,692.1203088,733.1207621,696.3392669,-17.53871814,,726.1027288,475.3063929,-10.41266086,-11.46352361,-10.51989381,0.264307954,,-11.28835591,-4.895963144,93.47178599,103.0701255,94.46367268,-2.372814613,,101.4002545,42.41901567,1.85E+20,7.01E+18,1.32E+19,8.01E+21,0,20.26750975,18.8454103,19.12200213,21.9034065,,1.69E+18,4.38E+18,1.78E+17,3.00E+18,1.62E+17,1.21E+18,3.16E+18,6.76E+18,8.28E+18,1.52E+18,3.34E+18,0,0.278155289,0.249936296,1.29E-14,,0.009073421,0.009132191,0.009079466,0.007846942,,0.009122152,0.008762953,0.058077257,0.058807151,0.058152265,0.043810081,,0.058682841,0.054224393,0.000259727,0.00026602,0.000260374,0.0001508,,0.000264943,0.000226448,1.000420571,1.000446138,1.000347706,0.958489179,0.920071774,0.847738434,Vmm,circle,white,0.155290485,5,16.5274283,0.2705,Y
Lmm,4500,9.01E-05,224.0276712,318.0801053,224.1324749,-5.688022961,,283.6798193,227.8027509,110.2378762,155.9549146,110.2909356,-2.79891983,,139.2221206,112.0617652,478.1418921,700.6133904,478.3961692,-12.14008368,,619.1878263,487.0257818,-5.136374503,-7.856339613,-5.137289001,0.130411995,,-6.872986366,-5.256651468,52.48931687,96.26119026,52.54446692,-1.332840056,,80.19616967,54.20055505,1.93E+20,3.73E+16,1.21E+19,8.01E+21,0,20.28607089,16.57144259,19.08375037,21.9034065,,2.29E+17,3.60E+15,1.78E+17,-2.12E+17,1.62E+17,4.65E+16,1.62E+17,9.16E+17,9.86E+17,5.82E+16,1.28E+17,0,0.984551468,0.136661073,1.28E-16,,0.008745611,0.009105736,0.008746029,0.007855193,,0.008973927,0.008759979,0.054056231,0.05820983,0.054060859,0.043911391,,0.056690624,0.054222948,0.000226883,0.00026103,0.000226922,0.000151629,,0.000248532,0.000228246,1.008225,1.008725,1.0068,0.951069743,0.912520511,0.84230552,Lmm,triangle-down,white,0.156429524,0.65,94.0524341,0.2705,Y
Hmm,4500,8.60E-05,322.2218157,331.8653407,323.1348048,-8.153468228,,331.1107443,227.4992436,155.0994311,159.4415217,155.5110054,-3.92429714,,159.0993496,112.4037109,708.9222534,732.8446135,711.1921701,-17.94142955,,730.9430221,473.3594415,-10.84480395,-11.46912875,-10.90341901,0.274738997,,-11.42268365,-4.758399606,96.70080367,102.3004661,97.23604106,-2.449839917,,101.832608,41.11087867,1.85E+20,7.53E+18,1.33E+19,8.01E+21,0,20.26609062,18.87654196,19.1247292,21.9034065,,3.37E+18,9.42E+18,1.78E+17,6.69E+18,1.62E+17,2.56E+18,6.85E+18,1.35E+19,1.67E+19,3.20E+18,7.03E+18,0,0.263373097,0.262840007,3.19E-15,,0.009098997,0.0091332,0.009102239,0.007846328,,0.009130505,0.008762672,0.058392739,0.058818622,0.058433059,0.043802511,,0.058785297,0.054209545,0.000262306,0.000265978,0.000262654,0.000150738,,0.000265686,0.000226149,1.000194028,1.000205823,1.000160413,0.958706275,0.920292834,0.847897185,Hmm,triangle-up,white,0.155277362,10,9.643525062,0.2705,Y
LM,4500,0.000488998,159.4791055,172.5969708,160.8204471,-23.15387678,,170.628412,81.15098347,79.34370045,85.63721845,79.9878856,-11.51808507,,84.68941704,41.73454545,329.3230698,358.2904835,332.2893832,-47.82380924,,353.9180211,156.0220542,-2.788038906,-3.25022154,-2.834644664,0.406161475,,-3.184215134,-0.05821104,26.31276924,30.35623888,26.73053371,-3.831443351,,29.72403831,1.83518557,1.05E+21,4.04E+19,7.53E+19,8.01E+21,0,21.0222085,19.60688319,19.87652858,21.9034065,,1.91E+18,5.06E+18,1.78E+17,3.49E+18,1.62E+17,1.39E+18,3.66E+18,7.65E+18,9.41E+18,1.74E+18,3.83E+18,0,0.274526429,0.253054459,-8.00E-16,,0.008502251,0.008551826,0.008507325,0.00778651,,0.00854436,0.008205994,0.051205599,0.051784918,0.051264836,0.043140054,,0.051697981,0.047746427,0.00020404,0.000208487,0.000204496,0.000146151,,0.000207816,0.00017744,1.000363689,1.000385798,1.000300679,0.958543679,0.920127269,0.847778288,LM,diamond,firebrick,0.16514125,1,13.1178653,0.32,Y
