F_33R,F_34R,F_36R,33a_vp,34a_vp,36a_vp,,,,,
0.009125377,0.058458808,0.000239082,1,1,1,,,,,
Altitude (km),T (K),33a,34a,36a,33R,34R,36R,d33S,d34S,d36S
0,113,,,,0.009125377,0.058458808,0.000239082,158.448411,323.7178726,557.6216562
1,126.6109784,1,1,1,0.009125377,0.058458808,0.000239082,158.448411,323.7178726,557.6216562
2,133.0118084,1,1,1,0.009125377,0.058458808,0.000239082,158.448411,323.7178726,557.6216562
3,134.4546611,1,1,1,0.009125377,0.058458808,0.000239082,158.448411,323.7178726,557.6216562
4,133.1917077,1,1,1,0.009125377,0.058458808,0.000239082,158.448411,323.7178726,557.6216562
5,131.4751193,1,1,1,0.009125377,0.058458808,0.000239082,158.448411,323.7178726,557.6216562
6,131.5570671,1,1,1,0.009125377,0.058458808,0.000239082,158.448411,323.7178726,557.6216562
7,135.6897223,1,1,1,0.009125377,0.058458808,0.000239082,158.448411,323.7178726,557.6216562
8,146.125256,1,1,1,0.009125377,0.058458808,0.000239082,158.448411,323.7178726,557.6216562
9,163.6097532,1,1,1,0.009125377,0.058458808,0.000239082,158.448411,323.7178726,557.6216562
10,176.4076765,1,1,1,0.009125377,0.058458808,0.000239082,158.448411,323.7178726,557.6216562
11,182.6283617,1,1,1,0.009125377,0.058458808,0.000239082,158.448411,323.7178726,557.6216562
12,194.5549921,1,1,1,0.009125377,0.058458808,0.000239082,158.448411,323.7178726,557.6216562
13,214.3207816,1,1,1,0.009125377,0.058458808,0.000239082,158.448411,323.7178726,557.6216562
14,229.3475883,1,1,1,0.009125377,0.058458808,0.000239082,158.448411,323.7178726,557.6216562
15,251.7134101,1,1,1,0.009125377,0.058458808,0.000239082,158.448411,323.7178726,557.6216562
16,272.7693194,1,1,1,0.009125377,0.058458808,0.000239082,158.448411,323.7178726,557.6216562
17,292.5097326,1,1,1,0.009125377,0.058458808,0.000239082,158.448411,323.7178726,557.6216562
18,314.0573323,1,1,1,0.009125377,0.058458808,0.000239082,158.448411,323.7178726,557.6216562
