fraction remaining,fraction lost,time (Myr),log10mantle ST,34R,d34 mantle,34R space,d34 space,34R space total,d34 space total,33R,d33 mantle,33R space,d33 space,33R space total,d33 space total,36R,d36 mantle,36R space,d36 space,36R space total,d36 space total,D33 mantle,D33S space,D33S total space,D36 mantle,D36 space,D36 total space,log10space
1,0,0.00E+00,21.91445188,0.044162589,0,0.040489163,-83.17959401,0.040489163,-83.17959401,0.007877241,0,0.007542028,-42.55468192,0.007542028,-42.55468192,0.000153492,0,0.000129,-159.5653381,0.000129,-159.5653381,0,0.282808994,0.282808994,0,-1.524109424,-1.524109424,
0.99,0.01,4.62E+01,21.91008707,0.044199524,0.836332387,0.040523025,-82.41282742,0.040506094,-82.79621072,0.007880611,0.427780317,0.007545254,-42.14510566,0.007543641,-42.34989379,0.000153738,1.604971829,0.000129207,-158.2164641,0.000129103,-158.8909011,-0.002930862,0.297500458,0.290154726,0.015940293,-1.632092005,-1.578100715,19.91445188
0.98,0.02,9.23E+01,21.90567795,0.044236865,1.681865745,0.04055726,-81.63762518,0.040523149,-82.41001554,0.007884016,0.860089449,0.007548514,-41.73119331,0.007545265,-42.1436603,0.000153988,3.228853376,0.000129416,-156.8516978,0.000129208,-158.2111666,-0.00607141,0.31218366,0.297497704,0.03330846,-1.740209916,-1.632137115,20.21548187
0.97,0.03,1.38E+02,21.90122361,0.04427462,2.53679675,0.040591876,-80.85380699,0.040540331,-82.0209634,0.007887458,1.297022293,0.00755181,-41.312854,0.007546901,-41.93595872,0.00015424,4.872063833,0.000129628,-155.4706867,0.000129313,-157.5260467,-0.009428033,0.326856598,0.304837427,0.052150008,-1.848453454,-1.6862162,20.39157313
0.96,0.04,1.85E+02,21.89672311,0.0443128,3.401328365,0.04062688,-80.06118676,0.040557641,-81.62900807,0.007890937,1.738676741,0.007555141,-40.88999402,0.007548549,-41.72676578,0.000154495,6.535036128,0.000129843,-154.0730672,0.000129419,-156.8354508,-0.013007367,0.341517164,0.312173375,0.072512234,-1.956812325,-1.740335425,20.51651187
0.95,0.05,2.31E+02,21.89217548,0.044351414,4.275670109,0.040662281,-79.25957241,0.040575081,-81.23410213,0.007894454,2.185153804,0.007558508,-40.46251664,0.007550209,-41.51605759,0.000154753,8.218217524,0.00013006,-152.6584632,0.000129526,-156.1392862,-0.016816302,0.356163146,0.319505003,0.094444318,-2.065275606,-1.794492122,20.61342188
0.94,0.06,2.77E+02,21.88757973,0.04439047,5.160038338,0.040698088,-78.44876557,0.040592653,-80.83619691,0.00789801,2.636557745,0.007561913,-40.03032205,0.007551881,-41.30380966,0.000155015,9.922070253,0.00013028,-151.2264863,0.000129634,-155.4374576,-0.020861999,0.370792215,0.326831748,0.117997411,-2.173831709,-1.848683491,20.69260313
0.93,0.07,3.23E+02,21.88293483,0.044429978,6.054656549,0.040734311,-77.62856134,0.04061036,-80.43524246,0.007901605,3.092996223,0.007565355,-39.59330717,0.007553565,-41.08999685,0.00015528,11.64707218,0.000130502,-149.7767349,0.000129742,-154.7298673,-0.0251519,0.385401919,0.334153019,0.143224736,-2.282468338,-1.902906597,20.75954992
0.92,0.08,3.69E+02,21.8782397,0.04446995,6.95975569,0.040770957,-76.79874798,0.040628205,-80.03118752,0.007905241,3.554580437,0.007568836,-39.15136553,0.007555262,-40.87459337,0.000155548,13.3937175,0.000130728,-148.3087936,0.000129852,-154.0164146,-0.029693744,0.399989682,0.341468204,0.170181694,-2.391172452,-1.957158359,20.81754186
0.91,0.09,4.15E+02,21.87349327,0.044510395,7.875574496,0.040808038,-75.95910661,0.040646188,-79.62397943,0.007908919,4.021425285,0.007572357,-38.70438711,0.007556972,-40.65757274,0.000155819,15.16251751,0.000130956,-146.8222328,0.000129962,-153.2969965,-0.03449558,0.414552791,0.348776663,0.19892597,-2.499930217,-2.011435545,20.86869439
0.9,0.1,4.62E+02,21.86869439,0.044551324,8.802359837,0.040845563,-75.10941089,0.040664313,-79.21356411,0.007912639,4.493649529,0.007575919,-38.25225822,0.007558694,-40.43890779,0.000156094,16.95400135,0.000131187,-145.3166077,0.000130073,-152.5715066,-0.039565787,0.42908839,0.356077729,0.229517658,-2.608726959,-2.065734764,20.91445188
0.89,0.11,5.08E+02,21.86384188,0.044592749,9.740367095,0.040883542,-74.2494267,0.040682582,-78.79988599,0.007916402,4.971375971,0.007579522,-37.79486128,0.00756043,-40.21857058,0.000156373,18.76871686,0.000131421,-143.7914578,0.000130186,-151.8398358,-0.044913084,0.443593475,0.363370708,0.262019382,-2.71754711,-2.12005246,20.95584456
0.88,0.12,5.54E+02,21.85893455,0.044634681,10.68986055,0.040921986,-73.37891172,0.040700998,-78.38288797,0.007920209,5.454731633,0.007583167,-37.33207466,0.007562179,-39.99653243,0.000156655,20.60723148,0.000131658,-142.2463064,0.000130299,-151.101872,-0.050546552,0.458064877,0.370654875,0.296496429,-2.826374156,-2.174384898,20.99363312
0.87,0.13,6.00E+02,21.85397113,0.044677132,11.65111381,0.040960907,-72.49761512,0.040719563,-77.96251134,0.007924062,5.943847957,0.007586856,-36.86377253,0.007563941,-39.77276386,0.000156941,22.47013313,0.000131899,-140.6806593,0.000130413,-150.3574997,-0.056475653,0.472499263,0.377929474,0.333016894,-2.935190578,-2.228728161,21.02839523
0.86,0.14,6.46E+02,21.84895033,0.044720116,12.62441021,0.041000315,-71.60527712,0.040738279,-77.53869572,0.007927962,6.43886101,0.00759059,-36.3898246,0.007565718,-39.54723458,0.000157231,24.35803124,0.000132142,-139.0940043,0.000130529,-149.6066,-0.062710251,0.486893119,0.385193717,0.371651828,-3.043977784,-2.283078136,21.06057991
0.85,0.15,6.92E+02,21.8438708,0.044763644,13.61004336,0.041040222,-70.70162854,0.040757151,-77.11137902,0.007931908,6.939911701,0.007594369,-35.91009596,0.007567509,-39.31991342,0.000157524,26.27155778,0.000132389,-137.4858103,0.000130645,-148.8490506,-0.069260628,0.50124274,0.392446781,0.412475401,-3.152716048,-2.337430505,21.09054314
0.84,0.16,7.39E+02,21.83873116,0.04480773,14.60831753,0.041080641,-69.78639041,0.04077618,-76.68049734,0.007935904,7.447146016,0.007598194,-35.42444684,0.007569314,-39.09076832,0.000157822,28.21136838,0.000132639,-135.8555262,0.000130762,-148.0847257,-0.076137512,0.515544222,0.399687807,0.455565072,-3.261384434,-2.391780736,21.11857186
0.83,0.17,7.85E+02,21.83352997,0.044852389,15.61954827,0.041121585,-68.85927343,0.040795369,-76.2459849,0.00793995,7.960715259,0.007602068,-34.93273237,0.007571133,-38.85976633,0.000158124,30.17814349,0.000132893,-134.2025802,0.000130881,-147.3134954,-0.083352101,0.529793445,0.406915898,0.501001774,-3.369960719,-2.446124068,21.1449008
0.82,0.18,8.31E+02,21.82826573,0.044897634,16.64406292,0.041163067,-67.91997749,0.040814721,-75.80777398,0.007944046,8.48077632,0.00760599,-34.43480234,0.007572968,-38.62687348,0.00015843,32.17258967,0.00013315,-132.5263785,0.000131,-146.5352261,-0.090916086,0.543986064,0.414130117,0.548870109,-3.478421307,-2.500455502,21.16972438
0.81,0.19,8.77E+02,21.8229369,0.044943481,17.68220121,0.0412051,-66.96819112,0.04083424,-75.36579484,0.007948195,9.007491944,0.007609962,-33.93050093,0.007574818,-38.39205486,0.000158741,34.19544086,0.000133411,-130.8263043,0.000131121,-145.74978,-0.09884168,0.558117493,0.421329486,0.599258555,-3.586741145,-2.554769784,21.19320548
0.8,0.2,9.23E+02,21.81754186,0.044989945,18.73431589,0.0412477,-66.00359092,0.040853929,-74.91997561,0.007952398,9.541031031,0.007613986,-33.41966643,0.007576683,-38.15527446,0.000159056,36.24745988,0.000133676,-129.1017164,0.000131242,-144.957015,-0.10714165,0.57218289,0.428512981,0.652259693,-3.69489362,-2.609061395,21.21548187
0.79,0.21,9.69E+02,21.81207897,0.045037042,19.80077338,0.04129088,-65.02584093,0.04087379,-74.47024221,0.007956656,10.08156895,0.007618063,-32.90213094,0.007578564,-37.9164952,0.000159375,38.32943986,0.000133944,-127.3519482,0.000131365,-144.1567847,-0.115829344,0.58617714,0.435679534,0.707970443,-3.802850458,-2.663324535,21.23667117
0.78,0.22,1.02E+03,21.80654648,0.04508479,20.88195453,0.041334656,-64.03459199,0.040893828,-74.01651829,0.007960971,10.62928785,0.007622194,-32.37772003,0.007580461,-37.67567889,0.000159699,40.44220593,0.000134217,-125.5763064,0.000131489,-143.3489379,-0.124918728,0.60009484,0.442828025,0.766492323,-3.910581612,-2.717553103,21.25687456
0.77,0.23,1.06E+03,21.8009426,0.045133206,21.97825533,0.041379044,-63.02948104,0.040914045,-73.55872507,0.007965343,11.18437707,0.00762638,-31.84625246,0.007582374,-37.43278612,0.000160029,42.58661685,0.000134494,-123.7740691,0.000131614,-142.5333183,-0.134424421,0.613930277,0.449957286,0.827931719,-4.018055143,-2.771740688,21.27617971
0.76,0.24,1.11E+03,21.79526547,0.045182307,23.09008775,0.041424061,-62.01013039,0.040934446,-73.09678128,0.007969775,11.74703346,0.007630624,-31.30753974,0.007584304,-37.18777627,0.000160363,44.76356691,0.000134774,-121.9444848,0.000131741,-141.709765,-0.144361736,0.627677411,0.457066091,0.892400188,-4.125237086,-2.825880544,21.29466312
0.75,0.25,1.15E+03,21.78951314,0.045232113,24.21788058,0.041469724,-60.97614691,0.040955034,-72.63060304,0.007974269,12.31746178,0.007634926,-30.76138581,0.007586251,-36.94060741,0.000160702,46.97398787,0.00013506,-120.0867704,0.000131868,-140.8781113,-0.154746716,0.641329849,0.464153159,0.960014765,-4.232091312,-2.879965574,21.31239189
0.74,0.26,1.20E+03,21.7836836,0.045282644,25.36208039,0.041516052,-59.92712117,0.040975812,-72.16010371,0.007978825,12.89587521,0.007639289,-30.20758658,0.007588215,-36.69123626,0.000161047,49.21885105,0.000135349,-118.2001096,0.000131997,-140.0381854,-0.165596186,0.654880828,0.471217146,1.030898309,-4.338579376,-2.933988307,21.32942522
